Tale of Kieu 1871/page122_17.jpg	𨔍之國色天才沛緣
Tale of Kieu 1871/page100_19.jpg	青天白日𤑟𤉜朱𥋳
Tale of Kieu 1872/page11a_10.jpg	𣈜皮生日外家
Tale of Kieu 1872/page82b_17.jpg	千年弋弋官堦吝吝
Tale of Kieu 1866/page055a_5.jpg	押情買擀朱𠊛士官
Tale of Kieu 1871/page035_8.jpg	㐌𢧚國色天香
Tale of Kieu 1866/page018a_8.jpg	㐌𢧚國色天香
Tale of Kieu 1866/page066a_22.jpg	情人吏﨤情人
Tale of Kieu 1866/page050b_22.jpg	娘浪千載一時
Tale of Kieu 1871/page034_23.jpg	者名侯下𠰺藝咹制
Luc Van Tien/nlvnpf-0059-084_2.jpg	月娥𠫾㐌旦耒
Tale of Kieu 1871/page128_3.jpg	修行時拱沛欺從權
Tale of Kieu 1872/page27a_17.jpg	夙姻時拱固𡗶於冲
Tale of Kieu 1871/page044_6.jpg	想𠊛𠁑月󱋓同
Luc Van Tien/nlvnpf-0059-095_1.jpg	吲𠻀𠳚吏月娥𣈜󰉨
Tale of Kieu 1871/page080_9.jpg	紅顔萡命󰜋𠊛芇爲
Tale of Kieu 1866/page062a_21.jpg	払王拱改任城維陽
Tale of Kieu 1872/page38b_19.jpg	対台鴈亇㐌拱苔年
Tale of Kieu 1872/page73a_3.jpg	𤳇才𡛔色春登及時
Tale of Kieu 1871/page102_12.jpg	倍傳所席軍中
Tale of Kieu 1872/page62b_18.jpg	倍傳所席軍中
Tale of Kieu 1871/page061_3.jpg	底娘朱典浽尼爲碎
Luc Van Tien/nlvnpf-0059-013_2.jpg	月娥應㗂吀侯
Tale of Kieu 1866/page036b_17.jpg	天官冡宰固排撩𨖲
Tale of Kieu 1871/page051_23.jpg	刼𠊛㐌典世尼時催
Luc Van Tien/nlvnpf-0059-007_0.jpg	民浪小子󰑼昆
Tale of Kieu 1872/page05b_10.jpg	天資才貌捽為
Tale of Kieu 1872/page39b_12.jpg	油欺湄𫗄不平
Luc Van Tien/nlvnpf-0059-070_15.jpg	硃批遣使󰝡郎東城
Tale of Kieu 1871/page020_4.jpg	停調月怒花箕
Luc Van Tien/nlvnpf-0059-087_12.jpg	仙浪感󰒂月娥
Tale of Kieu 1871/page083_15.jpg	𠳨払買於准芇吏制
Tale of Kieu 1871/page027_15.jpg	押宮琴月此牌𦑗詩
Tale of Kieu 1871/page134_9.jpg	󰀎魂蜀帝咍命杜鵑
Tale of Kieu 1872/page14a_5.jpg	遣㝵𡎢帝拱魚菫愁
Tale of Kieu 1872/page57a_8.jpg	吘𠳒呐貝氷人
Tale of Kieu 1866/page032a_22.jpg	油欺湄󰊄不情
Tale of Kieu 1872/page58b_11.jpg	南庭𦖑動𫪹朝大营
Luc Van Tien/nlvnpf-0059-055_11.jpg	𢪀𦋦買別武公害𨉓
Tale of Kieu 1866/page062b_9.jpg	令軍吏扒押緣土酋
Tale of Kieu 1871/page051_13.jpg	欺𡄎擬月欺唭呡花
Tale of Kieu 1872/page62a_15.jpg	𠳒師㐌𠰺乙時庄差
Tale of Kieu 1872/page44b_1.jpg	事娘󰑼世𠳒柴敢信
Tale of Kieu 1866/page044a_5.jpg	事命娘買踖頭排𣦍
Tale of Kieu 1871/page105_21.jpg	惮苔朱別用連將軍
Tale of Kieu 1872/page35a_10.jpg	生浪自課相知
Tale of Kieu 1866/page050b_0.jpg	㐌𢚸知過時𢧚
Tale of Kieu 1866/page018a_11.jpg	王孫貴客乙󰑼都饒
Tale of Kieu 1871/page057_17.jpg	𢚸低𢚸帝渚曾咍牢
Luc Van Tien/nlvnpf-0059-073_17.jpg	吏󰝡钱泊討󰉨六公
Luc Van Tien/nlvnpf-0059-021_13.jpg	陸王𠄩户都芸𠬠欺
Tale of Kieu 1872/page77b_6.jpg	闭迡𤋵月油花
Luc Van Tien/nlvnpf-0059-094_8.jpg	明浪良嫂於󰦓
Tale of Kieu 1871/page105_11.jpg	礼先兵後刻期裏政
Luc Van Tien/nlvnpf-0059-081_13.jpg	斈隊如世󰖽払文君
Tale of Kieu 1871/page101_15.jpg	爲碎𢚁𠳨󰜋𠳒終身
Luc Van Tien/nlvnpf-0059-024_5.jpg	𡶀高󰠩䟢及其𪀄悲
Tale of Kieu 1872/page65b_3.jpg	及干兵革𡗉𮥷拱傷
Luc Van Tien/nlvnpf-0059-078_9.jpg	月娥𥙩寔傳𨉓疎戈
Tale of Kieu 1871/page101_12.jpg	娘浪前定先知
Tale of Kieu 1871/page134_2.jpg	咹󱋔時事㐌耒
Tale of Kieu 1866/page014a_2.jpg	過年𡒔外𦊛旬
Luc Van Tien/nlvnpf-0059-057_15.jpg	吏𧵆連哙事情買咍
Luc Van Tien/nlvnpf-0059-054_9.jpg	户王户武𠬠茄買𠰮
Luc Van Tien/nlvnpf-0059-015_2.jpg	𠳿󰠃月老絲紅
Luc Van Tien/nlvnpf-0059-076_19.jpg	邒爫皇后渃畨於𠁀
Tale of Kieu 1871/page015_14.jpg	㐌𢚸君子多恾
Luc Van Tien/nlvnpf-0059-009_13.jpg	𠫾兜𢧚浽芒灾不期
Tale of Kieu 1871/page111_15.jpg	檜源拱於𢚸𠊛麻𦋦
Luc Van Tien/nlvnpf-0059-064_3.jpg	𡟱𤽗子紏迻𧗱桓公
Tale of Kieu 1871/page066_17.jpg	芇埃固考麻命吏称
Tale of Kieu 1872/page53b_19.jpg	底娘朱旦世時共伤
Tale of Kieu 1866/page062a_23.jpg	𠄩茹拱順󰜋𣈜赴官
Tale of Kieu 1866/page032b_20.jpg	於咹時󰞺拱咍
Tale of Kieu 1871/page051_17.jpg	󰟯珠󰞺月󰟯派𨤔紅
Luc Van Tien/nlvnpf-0059-054_18.jpg	武公𦋦畧誘払
Luc Van Tien/nlvnpf-0059-084_10.jpg	月娥半信半𪟽
Tale of Kieu 1871/page122_7.jpg	事尼𠳨束生員買詳
Tale of Kieu 1872/page22b_13.jpg	時攀梗橘朱柑事𠁀
Tale of Kieu 1871/page095_7.jpg	浪𠳐令旨逴朝于歸
Tale of Kieu 1871/page097_15.jpg	默娘處决報填朱明
Tale of Kieu 1872/page66a_9.jpg	󰇥醝吏押紊弹日奏
Luc Van Tien/nlvnpf-0059-015_5.jpg	𬌓𢚸娥女爲払麻迎
Tale of Kieu 1872/page34a_6.jpg	月花花月󰞽燶
Tale of Kieu 1871/page063_17.jpg	牢朱𥪞蔭時外買淹
Luc Van Tien/nlvnpf-0059-096_5.jpg	西畨曳賊閉𥹰拱爲
Tale of Kieu 1872/page47a_15.jpg	爫𦋦昆於主茹堆尼
Tale of Kieu 1866/page047b_17.jpg	焒兵兜㐌喑喑󰜋方
Tale of Kieu 1866/page023b_5.jpg	復書㐌𧡊信払典尼
Tale of Kieu 1871/page005_18.jpg	翹浪仍等才花
Tale of Kieu 1871/page051_3.jpg	料身時拱沛料世催
Tale of Kieu 1872/page55b_13.jpg	𨔉𦋦耒吏𫃚𠓨如制
Tale of Kieu 1872/page67b_11.jpg	𡮍爲𭛣渃麻𦋦負𢚸
Tale of Kieu 1866/page052a_12.jpg	信𠓨𠳚𠸜軍中
Tale of Kieu 1866/page055a_3.jpg	决情公買󰠣𣦍󰜋排
Tale of Kieu 1872/page03a_18.jpg	浪牢𥪝節清明
Luc Van Tien/nlvnpf-0059-042_19.jpg	𨑮位三府洞廷赤鱗
Tale of Kieu 1872/page16a_9.jpg	𠃩囬問曰如圍䋦絲
Tale of Kieu 1866/page065a_3.jpg	桃𡽫󰉺料車絲及時
Tale of Kieu 1866/page025a_19.jpg	喥𦖑娘固𡥵芇於低
Tale of Kieu 1872/page02a_8.jpg	浪𢆥嘉靖朝明
Tale of Kieu 1872/page19b_19.jpg	昆絲群王䋦尼渚衝
Tale of Kieu 1871/page058_9.jpg	還原󰜋帖申𠓨󰘇公
Luc Van Tien/nlvnpf-0059-016_5.jpg	曰書戈妬𨑮払鄧低
Tale of Kieu 1866/page061b_19.jpg	爫𢧚動地󰟹天同同
Tale of Kieu 1866/page032b_23.jpg	𠰘𠊛㐌𡗋信茹時空
Tale of Kieu 1866/page025b_21.jpg	𥙩身麻者𡢻𠁀朱衝
Tale of Kieu 1871/page014_21.jpg	𢧚庒時拱在𢚸媄吒
Tale of Kieu 1872/page10a_13.jpg	𢧚庒時拱在𢚸媄吒
Tale of Kieu 1871/page028_2.jpg	定時納釆于歸
Luc Van Tien/nlvnpf-0059-033_11.jpg	渚尼名利另塘是非
Tale of Kieu 1866/page025a_22.jpg	娘浪傕世時催
Tale of Kieu 1872/page65a_17.jpg	娘皮伏下徐連我𦋦
Tale of Kieu 1872/page82b_14.jpg	󰠱爲史󰒂初娄
Tale of Kieu 1871/page003_18.jpg	固𠊛客於遠方
Tale of Kieu 1871/page111_6.jpg	󰋇𠊛為󰒂初󰅒
Tale of Kieu 1872/page18b_16.jpg	時浪料𠬠身昆
Luc Van Tien/nlvnpf-0059-067_7.jpg	矯公差几迻回𧵑朱
Tale of Kieu 1872/page13b_17.jpg	𠬠浪流水𠄩浪行雲
Luc Van Tien/nlvnpf-0059-067_18.jpg	傷爲畑󰀋固功
Tale of Kieu 1871/page121_3.jpg	於低或固佳音庄󰑼
Tale of Kieu 1866/page051b_13.jpg	𰿘兵𠦳將會同洗寃
Tale of Kieu 1872/page38a_1.jpg	頭𡳪吏計事𣈜求𠦳
Tale of Kieu 1871/page094_9.jpg	酉离絲意群王絲𢚸
Tale of Kieu 1866/page047b_9.jpg	酉离絲意群王絲𢚸
Tale of Kieu 1872/page63a_18.jpg	㨂軍爫斫招安
Tale of Kieu 1872/page22b_17.jpg	𠼦牟招集吏󰑼群元
Tale of Kieu 1872/page75a_2.jpg	﨤娘時扵州台
Tale of Kieu 1872/page54b_3.jpg	尼賒時庄固㝵芇賒
Luc Van Tien/nlvnpf-0059-002_6.jpg	固𠊛扵郡東城
Tale of Kieu 1871/page083_17.jpg	尋花過𨀈󰏙𠊛曰經
Tale of Kieu 1866/page051a_12.jpg	娘浪前定僊知
Tale of Kieu 1872/page61a_7.jpg	悭𡀢時拱㝵些常情
Tale of Kieu 1871/page068_3.jpg	謀高本㐌泣名仍𣈜
Tale of Kieu 1866/page034b_3.jpg	謀高本㐌泣名仍𣈜
Tale of Kieu 1871/page022_19.jpg	払強添𢘝添爲𨑮分
Tale of Kieu 1871/page107_4.jpg	浪徐󰑼等𮎦雄
Tale of Kieu 1872/page61b_9.jpg	誓牢時吏拠牢加刑
Tale of Kieu 1872/page15a_7.jpg	生時𨄹𨀈𡑝桃倍𦋦
Luc Van Tien/nlvnpf-0059-095_7.jpg	朱官𦋦逴𠓨掑边凱
Luc Van Tien/nlvnpf-0059-036_1.jpg	内經㐌産外科添牟
Tale of Kieu 1871/page080_21.jpg	香花五供懺生礼常
Tale of Kieu 1866/page015b_12.jpg	𡢻情渚者朱埃
Tale of Kieu 1866/page050a_5.jpg	小書拱固悲𣇞典尼
Tale of Kieu 1872/page31a_11.jpg	󰘚模㐌体於󰠳引𠓨
Tale of Kieu 1871/page106_23.jpg	執功拱固𠳒娘買𢧚
Tale of Kieu 1871/page049_17.jpg	󰘚謨㐌𧡊於󰠳引𠓨
Tale of Kieu 1871/page091_19.jpg	沛𠊛𦝄󰊄勾爲咍牢
Tale of Kieu 1871/page115_5.jpg	姅𫷜於坦遼陽吏茹
Tale of Kieu 1866/page031a_7.jpg	𦝄花双拱是非別調
Tale of Kieu 1872/page38b_2.jpg	㐌迻旦畧㪯公
Tale of Kieu 1871/page063_21.jpg	典茹𠓀料呐𠼾朱明
Tale of Kieu 1866/page01a_8.jpg	浪𢆥󰞸靖朝明
Tale of Kieu 1872/page15a_18.jpg	事󰠲渚及堆囘
Tale of Kieu 1872/page31a_17.jpg	浪空時拱𪡔𠳒浪空
Tale of Kieu 1871/page107_11.jpg	𢪉命𠫾補戰場如空
Tale of Kieu 1872/page59a_11.jpg	從容買計事𣈜寒微
Tale of Kieu 1866/page055b_20.jpg	士官蹺𣾼倍傍
Tale of Kieu 1872/page83a_6.jpg	固󰠲偏爲㝵芇
Tale of Kieu 1871/page107_18.jpg	胡公𦖑呐傷情
Tale of Kieu 1866/page026b_1.jpg	酉𫳵拱於𢬣𠊛別𫳵
Tale of Kieu 1871/page073_5.jpg	吏群共煩爫高世尼
Luc Van Tien/nlvnpf-0059-092_1.jpg	爲蹺擛賊烏戈落塘
Luc Van Tien/nlvnpf-0059-062_14.jpg	公浪汝浽雲仙
Tale of Kieu 1872/page70b_15.jpg	浽念心事悲除𠳨埃
Tale of Kieu 1871/page003_17.jpg	姅澄春脱技梗天香
Tale of Kieu 1872/page75b_3.jpg	𠓨生𦋦死禍󰑼体饒
Tale of Kieu 1872/page68a_13.jpg	從容𠳨歇𡮈蘇事娘
Tale of Kieu 1866/page02a_14.jpg	浽名才色没時
Tale of Kieu 1872/page46a_8.jpg	仍󰑼娘耨戈時
Tale of Kieu 1872/page04b_13.jpg	䏾朝㐌我埮𧗱群賒
Tale of Kieu 1871/page034_9.jpg	刀尼時料貝身𡢐尼
Tale of Kieu 1866/page061a_11.jpg	固芸弹吏覩芸文詩
Tale of Kieu 1866/page048b_1.jpg	麻𢚸㐌聀仍𣈜󰜋𠄩
Luc Van Tien/nlvnpf-0059-065_5.jpg	𧗱茄懺所尋戈京城
Tale of Kieu 1871/page050_3.jpg	眷鸚𫫵燕事尼在埃
Luc Van Tien/nlvnpf-0059-085_10.jpg	明浪𫢩本庒埋
Tale of Kieu 1872/page31b_1.jpg	眷鶧𫫵燕事尼在埃
Tale of Kieu 1872/page58a_3.jpg	酉离絲衹群王絲𢚸
Tale of Kieu 1872/page03b_5.jpg	姅澄春説技梗天香
Tale of Kieu 1872/page59b_16.jpg	帳𤞻𨷑𡨌中軍
Tale of Kieu 1871/page022_17.jpg	群身乙吏填培固欺
Luc Van Tien/nlvnpf-0059-102_17.jpg	寒江𧗱細侈連埬軍
Tale of Kieu 1872/page12b_1.jpg	時󰠐鐄𥒥麻料貝身
Tale of Kieu 1872/page29b_6.jpg	娘浪𬮙事恩㝵
Tale of Kieu 1871/page096_7.jpg	𫳘情𣈜吏添春󰜋𣈜
Tale of Kieu 1866/page048b_7.jpg	𫳘情𣈜吏添春󰜋𣈜
Luc Van Tien/nlvnpf-0059-016_3.jpg	𠰺浪昆唉暫安府鐄
Tale of Kieu 1866/page030b_19.jpg	底埃𦝄悴花愁爲埃
Tale of Kieu 1871/page014_22.jpg	𥘀𢚸㤕柳爲花
Tale of Kieu 1871/page086_11.jpg	於低徐待師兄𠃣𣈜
Tale of Kieu 1866/page051a_7.jpg	𢆥󰅒󰑼󰜋女時𢆥𢆥
Tale of Kieu 1871/page097_6.jpg	軍中鎌𢀲槊𨱽
Tale of Kieu 1872/page79a_3.jpg	時朱𦰟渃水潮沚吹
Tale of Kieu 1872/page41a_0.jpg	郎君芇沛如埃
Tale of Kieu 1866/page066b_15.jpg	時群㛪妬路求姉低
Tale of Kieu 1871/page055_5.jpg	爫朱覩舘漂亭如制
Tale of Kieu 1871/page018_7.jpg	𠦳秋薄命󰜋𠁀才花
Tale of Kieu 1872/page20b_15.jpg	催催妾㐌負払自尼
Tale of Kieu 1872/page74b_15.jpg	卽時迎帖𨑮払束生
Tale of Kieu 1866/page015a_18.jpg	户終𦋦飭執爲
Tale of Kieu 1872/page36a_0.jpg	傷牢朱院時傷
Luc Van Tien/nlvnpf-0059-086_11.jpg	讀排文祭畧盘銘生
Tale of Kieu 1871/page061_20.jpg	㐌迻典𠓀󰘇公
Tale of Kieu 1871/page110_16.jpg	催時󰜋托朱耒
Tale of Kieu 1866/page055b_16.jpg	催時󰜋托朱耒
Luc Van Tien/nlvnpf-0059-004_10.jpg	𠓨䜹朱訢事情
Tale of Kieu 1871/page023_19.jpg	忍如娘買𤋵𠳒𠓀𡢐
Tale of Kieu 1871/page103_6.jpg	別徐󰑼等𮎦雄
Luc Van Tien/nlvnpf-0059-094_5.jpg	𦰟旗題𡦂𠸜󰑼漢明
Tale of Kieu 1872/page18a_12.jpg	𠬠𠳒𢚁貝終公
Tale of Kieu 1872/page67b_19.jpg	時它󰋖玉沉香㐌耒
Tale of Kieu 1871/page006_12.jpg	用浪姅於姅𧗱
Tale of Kieu 1872/page02a_11.jpg	家資𢪀拱常常堛中
Tale of Kieu 1871/page117_7.jpg	払金𧗱妬昆時𠫾󰠲
Luc Van Tien/nlvnpf-0059-088_16.jpg	固𠊚户漢𠸜明
Tale of Kieu 1866/page025b_17.jpg	紅顔沛眾於𠁀買油
Luc Van Tien/nlvnpf-0059-099_11.jpg	傳軍𬮎𨴦𨒻𠫾朱耒
Luc Van Tien/nlvnpf-0059-062_18.jpg	𦖑戈子直動𢚸
Tale of Kieu 1871/page067_4.jpg	𧡊𠳒統請如制
Tale of Kieu 1872/page44a_7.jpg	尋󰠲時拱別信𤑟𤉜
Tale of Kieu 1872/page58a_6.jpg	𡬷念故國他鄕
Tale of Kieu 1872/page47b_18.jpg	扒寬扒日旦𠳒
Tale of Kieu 1871/page115_17.jpg	浽念心事悲𣇞𠳨埃
Tale of Kieu 1866/page025a_15.jpg	固兜麻吏󰑼𠊛險溇
Tale of Kieu 1872/page03a_2.jpg	清明𡧲節𣈜𠀧
Tale of Kieu 1872/page37b_3.jpg	󰔓尼王𥙩絲箕󰋇吝
Tale of Kieu 1871/page033_1.jpg	底𡥵䕯浽𩄲沉爲埃
Luc Van Tien/nlvnpf-0059-022_17.jpg	云仙𠓨謝午欧出行
Luc Van Tien/nlvnpf-0059-058_7.jpg	埋󰦓侈﨤𠬠払漢明
Luc Van Tien/nlvnpf-0059-087_6.jpg	𠳨浪娘𧘇於󰦓
Tale of Kieu 1872/page81b_9.jpg	強𬁷爲󰞺強醝爲情
Tale of Kieu 1872/page27a_15.jpg	娘𦖑󰟯拱是非𫼢𣑳
Tale of Kieu 1871/page124_6.jpg	浪𣈜󰟭怒交兵
Tale of Kieu 1871/page096_23.jpg	㑏床户束󰜋茹朱安
Tale of Kieu 1872/page64a_14.jpg	𡄎自𧻭𭛣兵刀
Tale of Kieu 1866/page036a_5.jpg	尋兜時拱別信𤑟𤉜
Tale of Kieu 1871/page105_22.jpg	氣𤍌欺㐌𧗱臣
Tale of Kieu 1871/page127_23.jpg	㐌修修律戈時時催
Luc Van Tien/nlvnpf-0059-089_4.jpg	調󰝡兵馬𠫾連
Tale of Kieu 1871/page089_10.jpg	油埃𢚸固所求
Tale of Kieu 1872/page55a_4.jpg	油埃𢚸固所求
Tale of Kieu 1871/page016_14.jpg	茹香清永󰜋命
Tale of Kieu 1872/page72a_5.jpg	𠦳鐄身𧘇時哄補牢
Tale of Kieu 1871/page017_14.jpg	風霜特𨤔天然
Tale of Kieu 1872/page33b_3.jpg	梗春㐌𢯏朱㝵專𢬣
Tale of Kieu 1872/page78a_12.jpg	翁浪彼此壹時
Luc Van Tien/nlvnpf-0059-039_15.jpg	𧡊爻父母克󰠃子孫
Tale of Kieu 1871/page005_17.jpg	䏾朝㐌我𨤮槐群賒
Tale of Kieu 1871/page120_1.jpg	春秋別㐌対台󰋇吝
Tale of Kieu 1872/page24b_8.jpg	𬂙爲拔淚分𢬣
Tale of Kieu 1866/page03a_17.jpg	䏾朝㐌我𨤮槐群賒
Tale of Kieu 1872/page68a_16.jpg	師浪福禍道𡗶
Tale of Kieu 1872/page16a_5.jpg	㗂核鵑日䏾𡗶鴈䜹
Tale of Kieu 1872/page27a_18.jpg	刼尼女者渚衝
Tale of Kieu 1871/page088_19.jpg	成身耒仕料𧗱州台
Tale of Kieu 1872/page54b_9.jpg	成身耒仕料𧗱州台
Tale of Kieu 1871/page003_12.jpg	王觀買引𧵆賒
Tale of Kieu 1871/page128_7.jpg	立庵耒仕逴柴於終
Tale of Kieu 1872/page21a_13.jpg	𢘾吒者特󰒂払朱吹
Tale of Kieu 1872/page47b_13.jpg	推𢚸陟𡵆𤴬𢚸冬天
Luc Van Tien/nlvnpf-0059-042_9.jpg	𨑮翁盘古坐前證明
